SeqParameter1	MeanExcitation	PMTExcitation	Parity	P0	P1	time	CavIonDifference	CavityDrift	BField	BDrift	RSFreqReal	MacFreq00	MacFreq01	MacFreq02	MacFreq03	MacFreq04	MacFreq05	MacFreq06	MacFreq07	MacFreq08	MacFreq09	MacFreq10	MacFreq11	MacFreq12	MacFreq13	MacFreq14
3.700000000E+1	4.300000000E-1	4.300000000E-1	4.300000000E-1	5.700000000E-1	4.300000000E-1	3.548083435E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.800000000E+1	0.000000000E+0	0.000000000E+0	0.000000000E+0	1.000000000E+0	0.000000000E+0	3.548083438E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.900000000E+1	4.400000000E-1	4.400000000E-1	4.400000000E-1	5.600000000E-1	4.400000000E-1	3.548083440E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.000000000E+1	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.548083443E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.100000000E+1	5.100000000E-1	5.100000000E-1	5.100000000E-1	4.900000000E-1	5.100000000E-1	3.548083446E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.200000000E+1	6.100000000E-1	6.100000000E-1	6.100000000E-1	3.900000000E-1	6.100000000E-1	3.548083448E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.300000000E+1	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.548083451E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.400000000E+1	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.548083454E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.500000000E+1	5.300000000E-1	5.300000000E-1	5.300000000E-1	4.700000000E-1	5.300000000E-1	3.548083456E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.600000000E+1	4.700000000E-1	4.700000000E-1	4.700000000E-1	5.300000000E-1	4.700000000E-1	3.548083459E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.700000000E+1	5.700000000E-1	5.700000000E-1	5.700000000E-1	4.300000000E-1	5.700000000E-1	3.548083461E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.800000000E+1	0.000000000E+0	0.000000000E+0	0.000000000E+0	1.000000000E+0	0.000000000E+0	3.548083464E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
4.900000000E+1	5.200000000E-1	5.200000000E-1	5.200000000E-1	4.800000000E-1	5.200000000E-1	3.548083467E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
5.000000000E+1	5.700000000E-1	5.700000000E-1	5.700000000E-1	4.300000000E-1	5.700000000E-1	3.548083469E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
5.100000000E+1	5.000000000E-1	5.000000000E-1	5.000000000E-1	5.000000000E-1	5.000000000E-1	3.548083472E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
